GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-439e77c6-925a-153f-7807-eb1495e35f3b)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6756', 'grad_norm': '3.07', 'learning_rate': '1.999e-05', 'epoch': '0.006083'}
{'loss': '0.5944', 'grad_norm': '8.341', 'learning_rate': '1.997e-05', 'epoch': '0.01217'}
{'loss': '0.4373', 'grad_norm': '7.443', 'learning_rate': '1.996e-05', 'epoch': '0.01825'}
{'loss': '0.3916', 'grad_norm': '6.728', 'learning_rate': '1.994e-05', 'epoch': '0.02433'}
{'loss': '0.3239', 'grad_norm': '6.92', 'learning_rate': '1.993e-05', 'epoch': '0.03041'}
{'loss': '0.2817', 'grad_norm': '14.87', 'learning_rate': '1.991e-05', 'epoch': '0.0365'}
{'loss': '0.1987', 'grad_norm': '8.309', 'learning_rate': '1.99e-05', 'epoch': '0.04258'}
{'loss': '0.1119', 'grad_norm': '3.675', 'learning_rate': '1.988e-05', 'epoch': '0.04866'}
{'loss': '0.2179', 'grad_norm': '16.49', 'learning_rate': '1.986e-05', 'epoch': '0.05474'}
{'loss': '0.1742', 'grad_norm': '7.539', 'learning_rate': '1.985e-05', 'epoch': '0.06083'}
{'loss': '0.2401', 'grad_norm': '10.13', 'learning_rate': '1.983e-05', 'epoch': '0.06691'}
{'loss': '0.2141', 'grad_norm': '18.02', 'learning_rate': '1.982e-05', 'epoch': '0.07299'}
{'loss': '0.2041', 'grad_norm': '6.691', 'learning_rate': '1.98e-05', 'epoch': '0.07908'}
{'loss': '0.1778', 'grad_norm': '21.24', 'learning_rate': '1.979e-05', 'epoch': '0.08516'}
{'loss': '0.1908', 'grad_norm': '3.357', 'learning_rate': '1.977e-05', 'epoch': '0.09124'}
{'loss': '0.1982', 'grad_norm': '11.08', 'learning_rate': '1.976e-05', 'epoch': '0.09732'}
{'loss': '0.1246', 'grad_norm': '11.26', 'learning_rate': '1.974e-05', 'epoch': '0.1034'}
{'loss': '0.1227', 'grad_norm': '4.48', 'learning_rate': '1.973e-05', 'epoch': '0.1095'}
{'loss': '0.2035', 'grad_norm': '0.7853', 'learning_rate': '1.971e-05', 'epoch': '0.1156'}
{'loss': '0.1446', 'grad_norm': '8.322', 'learning_rate': '1.97e-05', 'epoch': '0.1217'}
{'loss': '0.1042', 'grad_norm': '45.34', 'learning_rate': '1.968e-05', 'epoch': '0.1277'}
{'loss': '0.07462', 'grad_norm': '2.998', 'learning_rate': '1.967e-05', 'epoch': '0.1338'}
{'loss': '0.1509', 'grad_norm': '0.2301', 'learning_rate': '1.965e-05', 'epoch': '0.1399'}
{'loss': '0.1634', 'grad_norm': '8.616', 'learning_rate': '1.964e-05', 'epoch': '0.146'}
{'loss': '0.1419', 'grad_norm': '7.151', 'learning_rate': '1.962e-05', 'epoch': '0.1521'}
{'loss': '0.1047', 'grad_norm': '20.21', 'learning_rate': '1.961e-05', 'epoch': '0.1582'}
{'loss': '0.1363', 'grad_norm': '9.413', 'learning_rate': '1.959e-05', 'epoch': '0.1642'}
{'loss': '0.09286', 'grad_norm': '5.218', 'learning_rate': '1.958e-05', 'epoch': '0.1703'}
{'loss': '0.0784', 'grad_norm': '2.1', 'learning_rate': '1.956e-05', 'epoch': '0.1764'}
{'loss': '0.09489', 'grad_norm': '1.546', 'learning_rate': '1.955e-05', 'epoch': '0.1825'}
{'loss': '0.05839', 'grad_norm': '12.25', 'learning_rate': '1.953e-05', 'epoch': '0.1886'}
{'loss': '0.1157', 'grad_norm': '8.737', 'learning_rate': '1.951e-05', 'epoch': '0.1946'}
{'loss': '0.07714', 'grad_norm': '2.306', 'learning_rate': '1.95e-05', 'epoch': '0.2007'}
{'loss': '0.1337', 'grad_norm': '2.558', 'learning_rate': '1.948e-05', 'epoch': '0.2068'}
{'loss': '0.06773', 'grad_norm': '5.286', 'learning_rate': '1.947e-05', 'epoch': '0.2129'}
{'loss': '0.1324', 'grad_norm': '23.47', 'learning_rate': '1.945e-05', 'epoch': '0.219'}
{'loss': '0.1493', 'grad_norm': '6.894', 'learning_rate': '1.944e-05', 'epoch': '0.2251'}
{'loss': '0.07148', 'grad_norm': '0.6257', 'learning_rate': '1.942e-05', 'epoch': '0.2311'}
{'loss': '0.07463', 'grad_norm': '0.2281', 'learning_rate': '1.941e-05', 'epoch': '0.2372'}
{'loss': '0.1094', 'grad_norm': '7.077', 'learning_rate': '1.939e-05', 'epoch': '0.2433'}
{'loss': '0.2288', 'grad_norm': '0.6321', 'learning_rate': '1.938e-05', 'epoch': '0.2494'}
{'loss': '0.122', 'grad_norm': '2.753', 'learning_rate': '1.936e-05', 'epoch': '0.2555'}
{'loss': '0.06083', 'grad_norm': '2.927', 'learning_rate': '1.935e-05', 'epoch': '0.2616'}
{'loss': '0.02505', 'grad_norm': '0.5169', 'learning_rate': '1.933e-05', 'epoch': '0.2676'}
{'loss': '0.0417', 'grad_norm': '1.094', 'learning_rate': '1.932e-05', 'epoch': '0.2737'}
{'loss': '0.08663', 'grad_norm': '23.9', 'learning_rate': '1.93e-05', 'epoch': '0.2798'}
{'loss': '0.08599', 'grad_norm': '34.29', 'learning_rate': '1.929e-05', 'epoch': '0.2859'}
{'loss': '0.05727', 'grad_norm': '0.2648', 'learning_rate': '1.927e-05', 'epoch': '0.292'}
{'loss': '0.1421', 'grad_norm': '36.23', 'learning_rate': '1.926e-05', 'epoch': '0.2981'}
{'loss': '0.07348', 'grad_norm': '6.387', 'learning_rate': '1.924e-05', 'epoch': '0.3041'}
{'loss': '0.08265', 'grad_norm': '0.1124', 'learning_rate': '1.923e-05', 'epoch': '0.3102'}
{'loss': '0.07216', 'grad_norm': '0.08673', 'learning_rate': '1.921e-05', 'epoch': '0.3163'}
{'loss': '0.05642', 'grad_norm': '0.05885', 'learning_rate': '1.92e-05', 'epoch': '0.3224'}
{'loss': '0.08113', 'grad_norm': '2.136', 'learning_rate': '1.918e-05', 'epoch': '0.3285'}
{'loss': '0.08931', 'grad_norm': '0.6268', 'learning_rate': '1.917e-05', 'epoch': '0.3345'}
{'loss': '0.07607', 'grad_norm': '0.6032', 'learning_rate': '1.915e-05', 'epoch': '0.3406'}
{'loss': '0.03391', 'grad_norm': '38.57', 'learning_rate': '1.913e-05', 'epoch': '0.3467'}
{'loss': '0.08224', 'grad_norm': '0.1129', 'learning_rate': '1.912e-05', 'epoch': '0.3528'}
{'loss': '0.07557', 'grad_norm': '2.956', 'learning_rate': '1.91e-05', 'epoch': '0.3589'}
{'loss': '0.04964', 'grad_norm': '0.04648', 'learning_rate': '1.909e-05', 'epoch': '0.365'}
{'loss': '0.07908', 'grad_norm': '21.91', 'learning_rate': '1.907e-05', 'epoch': '0.371'}
{'loss': '0.03467', 'grad_norm': '1.234', 'learning_rate': '1.906e-05', 'epoch': '0.3771'}
{'loss': '0.04382', 'grad_norm': '1.454', 'learning_rate': '1.904e-05', 'epoch': '0.3832'}
{'loss': '0.07935', 'grad_norm': '0.05319', 'learning_rate': '1.903e-05', 'epoch': '0.3893'}
{'loss': '0.09872', 'grad_norm': '0.1244', 'learning_rate': '1.901e-05', 'epoch': '0.3954'}
{'loss': '0.06528', 'grad_norm': '5.72', 'learning_rate': '1.9e-05', 'epoch': '0.4015'}
{'loss': '0.0586', 'grad_norm': '75.11', 'learning_rate': '1.898e-05', 'epoch': '0.4075'}
{'loss': '0.0695', 'grad_norm': '0.149', 'learning_rate': '1.897e-05', 'epoch': '0.4136'}
{'loss': '0.07645', 'grad_norm': '0.1852', 'learning_rate': '1.895e-05', 'epoch': '0.4197'}
{'loss': '0.08993', 'grad_norm': '0.08917', 'learning_rate': '1.894e-05', 'epoch': '0.4258'}
{'loss': '0.02841', 'grad_norm': '0.1306', 'learning_rate': '1.892e-05', 'epoch': '0.4319'}
{'loss': '0.09698', 'grad_norm': '4.371', 'learning_rate': '1.891e-05', 'epoch': '0.438'}
{'loss': '0.06602', 'grad_norm': '2.07', 'learning_rate': '1.889e-05', 'epoch': '0.444'}
{'loss': '0.03286', 'grad_norm': '0.1832', 'learning_rate': '1.888e-05', 'epoch': '0.4501'}
{'loss': '0.07366', 'grad_norm': '5.181', 'learning_rate': '1.886e-05', 'epoch': '0.4562'}
{'loss': '0.05273', 'grad_norm': '4.035', 'learning_rate': '1.885e-05', 'epoch': '0.4623'}
{'loss': '0.05807', 'grad_norm': '10.8', 'learning_rate': '1.883e-05', 'epoch': '0.4684'}
