GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-29585563-232c-f53f-831f-ba58a4316572)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6725', 'grad_norm': '3.066', 'learning_rate': '2e-05', 'epoch': '0.006083'}
{'loss': '0.5861', 'grad_norm': '8.238', 'learning_rate': '2e-05', 'epoch': '0.01217'}
{'loss': '0.5121', 'grad_norm': '9.086', 'learning_rate': '2e-05', 'epoch': '0.01825'}
{'loss': '0.4553', 'grad_norm': '9.89', 'learning_rate': '2e-05', 'epoch': '0.02433'}
{'loss': '0.3683', 'grad_norm': '8.232', 'learning_rate': '1.999e-05', 'epoch': '0.03041'}
{'loss': '0.2998', 'grad_norm': '13.29', 'learning_rate': '1.999e-05', 'epoch': '0.0365'}
{'loss': '0.2277', 'grad_norm': '14.76', 'learning_rate': '1.999e-05', 'epoch': '0.04258'}
{'loss': '0.142', 'grad_norm': '5.281', 'learning_rate': '1.999e-05', 'epoch': '0.04866'}
{'loss': '0.2032', 'grad_norm': '11.94', 'learning_rate': '1.999e-05', 'epoch': '0.05474'}
{'loss': '0.1616', 'grad_norm': '9.042', 'learning_rate': '1.999e-05', 'epoch': '0.06083'}
{'loss': '0.2316', 'grad_norm': '13.76', 'learning_rate': '1.999e-05', 'epoch': '0.06691'}
{'loss': '0.2482', 'grad_norm': '19.71', 'learning_rate': '1.999e-05', 'epoch': '0.07299'}
{'loss': '0.2127', 'grad_norm': '3.923', 'learning_rate': '1.998e-05', 'epoch': '0.07908'}
{'loss': '0.2553', 'grad_norm': '20.29', 'learning_rate': '1.998e-05', 'epoch': '0.08516'}
{'loss': '0.2031', 'grad_norm': '2.976', 'learning_rate': '1.998e-05', 'epoch': '0.09124'}
{'loss': '0.2081', 'grad_norm': '9.102', 'learning_rate': '1.998e-05', 'epoch': '0.09732'}
{'loss': '0.1476', 'grad_norm': '13.81', 'learning_rate': '1.998e-05', 'epoch': '0.1034'}
{'loss': '0.1448', 'grad_norm': '7.493', 'learning_rate': '1.998e-05', 'epoch': '0.1095'}
{'loss': '0.1901', 'grad_norm': '2.167', 'learning_rate': '1.998e-05', 'epoch': '0.1156'}
{'loss': '0.21', 'grad_norm': '26.8', 'learning_rate': '1.998e-05', 'epoch': '0.1217'}
{'loss': '0.1491', 'grad_norm': '3.633', 'learning_rate': '1.997e-05', 'epoch': '0.1277'}
{'loss': '0.1178', 'grad_norm': '8.114', 'learning_rate': '1.997e-05', 'epoch': '0.1338'}
{'loss': '0.1473', 'grad_norm': '9.678', 'learning_rate': '1.997e-05', 'epoch': '0.1399'}
{'loss': '0.129', 'grad_norm': '13.32', 'learning_rate': '1.997e-05', 'epoch': '0.146'}
{'loss': '0.09923', 'grad_norm': '16.07', 'learning_rate': '1.997e-05', 'epoch': '0.1521'}
{'loss': '0.1354', 'grad_norm': '28.54', 'learning_rate': '1.997e-05', 'epoch': '0.1582'}
{'loss': '0.09108', 'grad_norm': '7.168', 'learning_rate': '1.997e-05', 'epoch': '0.1642'}
{'loss': '0.1322', 'grad_norm': '4.36', 'learning_rate': '1.997e-05', 'epoch': '0.1703'}
{'loss': '0.07124', 'grad_norm': '1.432', 'learning_rate': '1.996e-05', 'epoch': '0.1764'}
{'loss': '0.09676', 'grad_norm': '1.481', 'learning_rate': '1.996e-05', 'epoch': '0.1825'}
{'loss': '0.08094', 'grad_norm': '13.82', 'learning_rate': '1.996e-05', 'epoch': '0.1886'}
{'loss': '0.09615', 'grad_norm': '0.4273', 'learning_rate': '1.996e-05', 'epoch': '0.1946'}
{'loss': '0.1024', 'grad_norm': '6.051', 'learning_rate': '1.996e-05', 'epoch': '0.2007'}
{'loss': '0.1364', 'grad_norm': '1.523', 'learning_rate': '1.996e-05', 'epoch': '0.2068'}
{'loss': '0.07637', 'grad_norm': '6.322', 'learning_rate': '1.996e-05', 'epoch': '0.2129'}
{'loss': '0.1315', 'grad_norm': '8.623', 'learning_rate': '1.996e-05', 'epoch': '0.219'}
{'loss': '0.2162', 'grad_norm': '4.565', 'learning_rate': '1.996e-05', 'epoch': '0.2251'}
{'loss': '0.09208', 'grad_norm': '1.501', 'learning_rate': '1.995e-05', 'epoch': '0.2311'}
{'loss': '0.07315', 'grad_norm': '1.304', 'learning_rate': '1.995e-05', 'epoch': '0.2372'}
{'loss': '0.08327', 'grad_norm': '7.896', 'learning_rate': '1.995e-05', 'epoch': '0.2433'}
{'loss': '0.1571', 'grad_norm': '1.819', 'learning_rate': '1.995e-05', 'epoch': '0.2494'}
{'loss': '0.1031', 'grad_norm': '1.384', 'learning_rate': '1.995e-05', 'epoch': '0.2555'}
{'loss': '0.07274', 'grad_norm': '0.3881', 'learning_rate': '1.995e-05', 'epoch': '0.2616'}
{'loss': '0.03474', 'grad_norm': '0.1201', 'learning_rate': '1.995e-05', 'epoch': '0.2676'}
{'loss': '0.06654', 'grad_norm': '49.94', 'learning_rate': '1.995e-05', 'epoch': '0.2737'}
{'loss': '0.1479', 'grad_norm': '24.35', 'learning_rate': '1.994e-05', 'epoch': '0.2798'}
{'loss': '0.09014', 'grad_norm': '4.99', 'learning_rate': '1.994e-05', 'epoch': '0.2859'}
{'loss': '0.04027', 'grad_norm': '1.598', 'learning_rate': '1.994e-05', 'epoch': '0.292'}
{'loss': '0.1271', 'grad_norm': '5.778', 'learning_rate': '1.994e-05', 'epoch': '0.2981'}
{'loss': '0.05868', 'grad_norm': '15.4', 'learning_rate': '1.994e-05', 'epoch': '0.3041'}
{'loss': '0.05497', 'grad_norm': '2.518', 'learning_rate': '1.994e-05', 'epoch': '0.3102'}
