GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6915', 'grad_norm': '18.46', 'learning_rate': '1.999e-05', 'epoch': '0.006083'}
{'loss': '0.6752', 'grad_norm': '28.63', 'learning_rate': '1.997e-05', 'epoch': '0.01217'}
{'loss': '0.7021', 'grad_norm': '9.436', 'learning_rate': '1.996e-05', 'epoch': '0.01825'}
{'loss': '0.6813', 'grad_norm': '25.41', 'learning_rate': '1.994e-05', 'epoch': '0.02433'}
{'loss': '0.6802', 'grad_norm': '21.68', 'learning_rate': '1.993e-05', 'epoch': '0.03041'}
{'loss': '0.6906', 'grad_norm': '21.62', 'learning_rate': '1.991e-05', 'epoch': '0.0365'}
{'loss': '0.6806', 'grad_norm': '21.99', 'learning_rate': '1.99e-05', 'epoch': '0.04258'}
{'loss': '0.6768', 'grad_norm': '49.07', 'learning_rate': '1.988e-05', 'epoch': '0.04866'}
{'loss': '0.6752', 'grad_norm': '34.52', 'learning_rate': '1.986e-05', 'epoch': '0.05474'}
{'loss': '0.6843', 'grad_norm': '40.81', 'learning_rate': '1.985e-05', 'epoch': '0.06083'}
{'loss': '0.6692', 'grad_norm': '12.88', 'learning_rate': '1.983e-05', 'epoch': '0.06691'}
{'loss': '0.6696', 'grad_norm': '54.38', 'learning_rate': '1.982e-05', 'epoch': '0.07299'}
{'loss': '0.6796', 'grad_norm': '20.32', 'learning_rate': '1.98e-05', 'epoch': '0.07908'}
{'loss': '0.6652', 'grad_norm': '103.7', 'learning_rate': '1.979e-05', 'epoch': '0.08516'}
{'loss': '0.6778', 'grad_norm': '11.49', 'learning_rate': '1.977e-05', 'epoch': '0.09124'}
{'loss': '0.6714', 'grad_norm': '33.11', 'learning_rate': '1.976e-05', 'epoch': '0.09732'}
{'loss': '0.6801', 'grad_norm': '70.05', 'learning_rate': '1.974e-05', 'epoch': '0.1034'}
{'loss': '0.6659', 'grad_norm': '33.15', 'learning_rate': '1.973e-05', 'epoch': '0.1095'}
{'loss': '0.679', 'grad_norm': '52.1', 'learning_rate': '1.971e-05', 'epoch': '0.1156'}
{'loss': '0.6816', 'grad_norm': '84.19', 'learning_rate': '1.97e-05', 'epoch': '0.1217'}
{'loss': '0.675', 'grad_norm': '37.43', 'learning_rate': '1.968e-05', 'epoch': '0.1277'}
{'loss': '0.6745', 'grad_norm': '32.66', 'learning_rate': '1.967e-05', 'epoch': '0.1338'}
{'loss': '0.6488', 'grad_norm': '32.97', 'learning_rate': '1.965e-05', 'epoch': '0.1399'}
{'loss': '0.6717', 'grad_norm': '19.81', 'learning_rate': '1.964e-05', 'epoch': '0.146'}
{'loss': '0.6533', 'grad_norm': '85.46', 'learning_rate': '1.962e-05', 'epoch': '0.1521'}
{'loss': '0.6643', 'grad_norm': '54.55', 'learning_rate': '1.961e-05', 'epoch': '0.1582'}
{'loss': '0.6479', 'grad_norm': '67.35', 'learning_rate': '1.959e-05', 'epoch': '0.1642'}
{'loss': '0.6545', 'grad_norm': '21.86', 'learning_rate': '1.958e-05', 'epoch': '0.1703'}
{'loss': '0.6535', 'grad_norm': '27.76', 'learning_rate': '1.956e-05', 'epoch': '0.1764'}
{'loss': '0.6376', 'grad_norm': '34.54', 'learning_rate': '1.955e-05', 'epoch': '0.1825'}
{'loss': '0.652', 'grad_norm': '19.93', 'learning_rate': '1.953e-05', 'epoch': '0.1886'}
{'loss': '0.6512', 'grad_norm': '25.15', 'learning_rate': '1.951e-05', 'epoch': '0.1946'}
{'loss': '0.6473', 'grad_norm': '111.9', 'learning_rate': '1.95e-05', 'epoch': '0.2007'}
{'loss': '0.638', 'grad_norm': '50.14', 'learning_rate': '1.948e-05', 'epoch': '0.2068'}
{'loss': '0.6639', 'grad_norm': '77.39', 'learning_rate': '1.947e-05', 'epoch': '0.2129'}
{'loss': '0.6469', 'grad_norm': '109.7', 'learning_rate': '1.945e-05', 'epoch': '0.219'}
{'loss': '0.6389', 'grad_norm': '193.7', 'learning_rate': '1.944e-05', 'epoch': '0.2251'}
{'loss': '0.6248', 'grad_norm': '38.1', 'learning_rate': '1.942e-05', 'epoch': '0.2311'}
