GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6889', 'grad_norm': '23.2', 'learning_rate': '2e-05', 'epoch': '0.006083'}
{'loss': '0.6777', 'grad_norm': '38.34', 'learning_rate': '2e-05', 'epoch': '0.01217'}
{'loss': '0.7071', 'grad_norm': '32.82', 'learning_rate': '2e-05', 'epoch': '0.01825'}
{'loss': '0.6817', 'grad_norm': '21.98', 'learning_rate': '2e-05', 'epoch': '0.02433'}
{'loss': '0.6804', 'grad_norm': '28.37', 'learning_rate': '1.999e-05', 'epoch': '0.03041'}
{'loss': '0.6885', 'grad_norm': '71.98', 'learning_rate': '1.999e-05', 'epoch': '0.0365'}
{'loss': '0.6816', 'grad_norm': '39.09', 'learning_rate': '1.999e-05', 'epoch': '0.04258'}
{'loss': '0.6766', 'grad_norm': '24.22', 'learning_rate': '1.999e-05', 'epoch': '0.04866'}
{'loss': '0.6731', 'grad_norm': '39.65', 'learning_rate': '1.999e-05', 'epoch': '0.05474'}
{'loss': '0.6851', 'grad_norm': '16.91', 'learning_rate': '1.999e-05', 'epoch': '0.06083'}
{'loss': '0.6682', 'grad_norm': '15.78', 'learning_rate': '1.999e-05', 'epoch': '0.06691'}
{'loss': '0.6715', 'grad_norm': '15.94', 'learning_rate': '1.999e-05', 'epoch': '0.07299'}
{'loss': '0.6758', 'grad_norm': '21.9', 'learning_rate': '1.998e-05', 'epoch': '0.07908'}
{'loss': '0.6664', 'grad_norm': '34.57', 'learning_rate': '1.998e-05', 'epoch': '0.08516'}
{'loss': '0.6673', 'grad_norm': '28.13', 'learning_rate': '1.998e-05', 'epoch': '0.09124'}
{'loss': '0.6582', 'grad_norm': '22.41', 'learning_rate': '1.998e-05', 'epoch': '0.09732'}
{'loss': '0.6736', 'grad_norm': '21.77', 'learning_rate': '1.998e-05', 'epoch': '0.1034'}
{'loss': '0.6616', 'grad_norm': '19.75', 'learning_rate': '1.998e-05', 'epoch': '0.1095'}
{'loss': '0.6748', 'grad_norm': '10.9', 'learning_rate': '1.998e-05', 'epoch': '0.1156'}
{'loss': '0.669', 'grad_norm': '49.66', 'learning_rate': '1.998e-05', 'epoch': '0.1217'}
{'loss': '0.6658', 'grad_norm': '50.42', 'learning_rate': '1.997e-05', 'epoch': '0.1277'}
{'loss': '0.6693', 'grad_norm': '10.2', 'learning_rate': '1.997e-05', 'epoch': '0.1338'}
{'loss': '0.6475', 'grad_norm': '142.7', 'learning_rate': '1.997e-05', 'epoch': '0.1399'}
{'loss': '0.6615', 'grad_norm': '20.13', 'learning_rate': '1.997e-05', 'epoch': '0.146'}
{'loss': '0.6446', 'grad_norm': '78.52', 'learning_rate': '1.997e-05', 'epoch': '0.1521'}
{'loss': '0.6607', 'grad_norm': '25.03', 'learning_rate': '1.997e-05', 'epoch': '0.1582'}
{'loss': '0.643', 'grad_norm': '69.51', 'learning_rate': '1.997e-05', 'epoch': '0.1642'}
{'loss': '0.6611', 'grad_norm': '31.2', 'learning_rate': '1.997e-05', 'epoch': '0.1703'}
{'loss': '0.652', 'grad_norm': '30.48', 'learning_rate': '1.996e-05', 'epoch': '0.1764'}
{'loss': '0.6384', 'grad_norm': '15.26', 'learning_rate': '1.996e-05', 'epoch': '0.1825'}
{'loss': '0.6371', 'grad_norm': '30.02', 'learning_rate': '1.996e-05', 'epoch': '0.1886'}
