GPU 0: NVIDIA A100 80GB PCIe (UUID: GPU-614301ad-da52-aeb4-f2e9-e6725ab87783)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6711', 'grad_norm': '62.15', 'learning_rate': '1.999e-05', 'epoch': '0.006098'}
{'loss': '0.6332', 'grad_norm': '34.01', 'learning_rate': '1.997e-05', 'epoch': '0.0122'}
{'loss': '0.564', 'grad_norm': '52.23', 'learning_rate': '1.996e-05', 'epoch': '0.01829'}
{'loss': '0.5679', 'grad_norm': '49.4', 'learning_rate': '1.994e-05', 'epoch': '0.02439'}
{'loss': '0.5386', 'grad_norm': '38.73', 'learning_rate': '1.993e-05', 'epoch': '0.03049'}
{'loss': '0.5146', 'grad_norm': '64.84', 'learning_rate': '1.991e-05', 'epoch': '0.03659'}
{'loss': '0.5577', 'grad_norm': '32.52', 'learning_rate': '1.989e-05', 'epoch': '0.04268'}
{'loss': '0.5371', 'grad_norm': '103.5', 'learning_rate': '1.988e-05', 'epoch': '0.04878'}
{'loss': '0.5616', 'grad_norm': '30.48', 'learning_rate': '1.986e-05', 'epoch': '0.05488'}
{'loss': '0.5875', 'grad_norm': '23.49', 'learning_rate': '1.985e-05', 'epoch': '0.06098'}
{'loss': '0.497', 'grad_norm': '36.37', 'learning_rate': '1.983e-05', 'epoch': '0.06707'}
{'loss': '0.5727', 'grad_norm': '94.95', 'learning_rate': '1.982e-05', 'epoch': '0.07317'}
{'loss': '0.5599', 'grad_norm': '82.01', 'learning_rate': '1.98e-05', 'epoch': '0.07927'}
{'loss': '0.526', 'grad_norm': '132', 'learning_rate': '1.979e-05', 'epoch': '0.08537'}
{'loss': '0.5236', 'grad_norm': '36.61', 'learning_rate': '1.977e-05', 'epoch': '0.09146'}
{'loss': '0.5733', 'grad_norm': '77.35', 'learning_rate': '1.976e-05', 'epoch': '0.09756'}
{'loss': '0.4987', 'grad_norm': '39.57', 'learning_rate': '1.974e-05', 'epoch': '0.1037'}
{'loss': '0.5172', 'grad_norm': '39.97', 'learning_rate': '1.973e-05', 'epoch': '0.1098'}
{'loss': '0.5763', 'grad_norm': '17.31', 'learning_rate': '1.971e-05', 'epoch': '0.1159'}
{'loss': '0.538', 'grad_norm': '112.9', 'learning_rate': '1.97e-05', 'epoch': '0.122'}
{'loss': '0.5348', 'grad_norm': '20.53', 'learning_rate': '1.968e-05', 'epoch': '0.128'}
{'loss': '0.5745', 'grad_norm': '44.55', 'learning_rate': '1.967e-05', 'epoch': '0.1341'}
{'loss': '0.5156', 'grad_norm': '143.1', 'learning_rate': '1.965e-05', 'epoch': '0.1402'}
{'loss': '0.497', 'grad_norm': '63.03', 'learning_rate': '1.964e-05', 'epoch': '0.1463'}
{'loss': '0.4863', 'grad_norm': '24', 'learning_rate': '1.962e-05', 'epoch': '0.1524'}
{'loss': '0.5256', 'grad_norm': '45.29', 'learning_rate': '1.961e-05', 'epoch': '0.1585'}
{'loss': '0.507', 'grad_norm': '19.63', 'learning_rate': '1.959e-05', 'epoch': '0.1646'}
{'loss': '0.5024', 'grad_norm': '37.08', 'learning_rate': '1.957e-05', 'epoch': '0.1707'}
{'loss': '0.538', 'grad_norm': '51.66', 'learning_rate': '1.956e-05', 'epoch': '0.1768'}
{'loss': '0.5249', 'grad_norm': '16.84', 'learning_rate': '1.954e-05', 'epoch': '0.1829'}
{'loss': '0.5142', 'grad_norm': '51.76', 'learning_rate': '1.953e-05', 'epoch': '0.189'}
{'loss': '0.5097', 'grad_norm': '22.93', 'learning_rate': '1.951e-05', 'epoch': '0.1951'}
{'loss': '0.5473', 'grad_norm': '23.39', 'learning_rate': '1.95e-05', 'epoch': '0.2012'}
{'loss': '0.4983', 'grad_norm': '75.66', 'learning_rate': '1.948e-05', 'epoch': '0.2073'}
{'loss': '0.5531', 'grad_norm': '65.98', 'learning_rate': '1.947e-05', 'epoch': '0.2134'}
{'loss': '0.5118', 'grad_norm': '37.47', 'learning_rate': '1.945e-05', 'epoch': '0.2195'}
{'loss': '0.4776', 'grad_norm': '28.88', 'learning_rate': '1.944e-05', 'epoch': '0.2256'}
{'loss': '0.5124', 'grad_norm': '47.65', 'learning_rate': '1.942e-05', 'epoch': '0.2317'}
