GPU 0: NVIDIA A100-PCIE-40GB (UUID: GPU-8fe22491-0fcf-953f-984a-d3cef85341a0)
nvcc: NVIDIA (R) Cuda compiler driver
Copyright (c) 2005-2022 NVIDIA Corporation
Built on Wed_Jun__8_16:49:14_PDT_2022
Cuda compilation tools, release 11.7, V11.7.99
Build cuda_11.7.r11.7/compiler.31442593_0
Python 3.10.20

===== Fold 1 =====
{'loss': '0.6951', 'grad_norm': '4.961', 'learning_rate': '2e-05', 'epoch': '0.006098'}
{'loss': '0.6258', 'grad_norm': '6.59', 'learning_rate': '2e-05', 'epoch': '0.0122'}
{'loss': '0.4858', 'grad_norm': '10.74', 'learning_rate': '2e-05', 'epoch': '0.01829'}
{'loss': '0.3513', 'grad_norm': '11.02', 'learning_rate': '2e-05', 'epoch': '0.02439'}
{'loss': '0.288', 'grad_norm': '11.94', 'learning_rate': '1.999e-05', 'epoch': '0.03049'}
{'loss': '0.3564', 'grad_norm': '20.29', 'learning_rate': '1.999e-05', 'epoch': '0.03659'}
{'loss': '0.2804', 'grad_norm': '18.1', 'learning_rate': '1.999e-05', 'epoch': '0.04268'}
{'loss': '0.2243', 'grad_norm': '21.92', 'learning_rate': '1.999e-05', 'epoch': '0.04878'}
{'loss': '0.2216', 'grad_norm': '16.65', 'learning_rate': '1.999e-05', 'epoch': '0.05488'}
{'loss': '0.1427', 'grad_norm': '10.39', 'learning_rate': '1.999e-05', 'epoch': '0.06098'}
{'loss': '0.1946', 'grad_norm': '1.292', 'learning_rate': '1.999e-05', 'epoch': '0.06707'}
{'loss': '0.1706', 'grad_norm': '14.45', 'learning_rate': '1.999e-05', 'epoch': '0.07317'}
{'loss': '0.1809', 'grad_norm': '25.51', 'learning_rate': '1.998e-05', 'epoch': '0.07927'}
{'loss': '0.2021', 'grad_norm': '14.39', 'learning_rate': '1.998e-05', 'epoch': '0.08537'}
{'loss': '0.2049', 'grad_norm': '2.948', 'learning_rate': '1.998e-05', 'epoch': '0.09146'}
{'loss': '0.1278', 'grad_norm': '3.907', 'learning_rate': '1.998e-05', 'epoch': '0.09756'}
{'loss': '0.2131', 'grad_norm': '24.48', 'learning_rate': '1.998e-05', 'epoch': '0.1037'}
{'loss': '0.1731', 'grad_norm': '5.6', 'learning_rate': '1.998e-05', 'epoch': '0.1098'}
{'loss': '0.2729', 'grad_norm': '11.16', 'learning_rate': '1.998e-05', 'epoch': '0.1159'}
{'loss': '0.109', 'grad_norm': '7.845', 'learning_rate': '1.998e-05', 'epoch': '0.122'}
{'loss': '0.1835', 'grad_norm': '13.78', 'learning_rate': '1.997e-05', 'epoch': '0.128'}
{'loss': '0.1254', 'grad_norm': '4.978', 'learning_rate': '1.997e-05', 'epoch': '0.1341'}
{'loss': '0.1466', 'grad_norm': '12.16', 'learning_rate': '1.997e-05', 'epoch': '0.1402'}
{'loss': '0.1875', 'grad_norm': '14.03', 'learning_rate': '1.997e-05', 'epoch': '0.1463'}
{'loss': '0.1373', 'grad_norm': '2.415', 'learning_rate': '1.997e-05', 'epoch': '0.1524'}
{'loss': '0.103', 'grad_norm': '0.4162', 'learning_rate': '1.997e-05', 'epoch': '0.1585'}
{'loss': '0.2193', 'grad_norm': '4.145', 'learning_rate': '1.997e-05', 'epoch': '0.1646'}
{'loss': '0.104', 'grad_norm': '17.21', 'learning_rate': '1.997e-05', 'epoch': '0.1707'}
{'loss': '0.09984', 'grad_norm': '9.732', 'learning_rate': '1.996e-05', 'epoch': '0.1768'}
{'loss': '0.1811', 'grad_norm': '20.27', 'learning_rate': '1.996e-05', 'epoch': '0.1829'}
{'loss': '0.1498', 'grad_norm': '10.22', 'learning_rate': '1.996e-05', 'epoch': '0.189'}
{'loss': '0.1075', 'grad_norm': '14.35', 'learning_rate': '1.996e-05', 'epoch': '0.1951'}
{'loss': '0.1522', 'grad_norm': '8.513', 'learning_rate': '1.996e-05', 'epoch': '0.2012'}
{'loss': '0.1553', 'grad_norm': '0.2202', 'learning_rate': '1.996e-05', 'epoch': '0.2073'}
{'loss': '0.1457', 'grad_norm': '7.854', 'learning_rate': '1.996e-05', 'epoch': '0.2134'}
{'loss': '0.1272', 'grad_norm': '10.59', 'learning_rate': '1.996e-05', 'epoch': '0.2195'}
{'loss': '0.08128', 'grad_norm': '3.277', 'learning_rate': '1.996e-05', 'epoch': '0.2256'}
{'loss': '0.1676', 'grad_norm': '9.502', 'learning_rate': '1.995e-05', 'epoch': '0.2317'}
{'loss': '0.08822', 'grad_norm': '3.247', 'learning_rate': '1.995e-05', 'epoch': '0.2378'}
{'loss': '0.1698', 'grad_norm': '21.6', 'learning_rate': '1.995e-05', 'epoch': '0.2439'}
{'loss': '0.122', 'grad_norm': '17.82', 'learning_rate': '1.995e-05', 'epoch': '0.25'}
{'loss': '0.1188', 'grad_norm': '13.18', 'learning_rate': '1.995e-05', 'epoch': '0.2561'}
{'loss': '0.08928', 'grad_norm': '14.96', 'learning_rate': '1.995e-05', 'epoch': '0.2622'}
{'loss': '0.122', 'grad_norm': '13.82', 'learning_rate': '1.995e-05', 'epoch': '0.2683'}
{'loss': '0.1068', 'grad_norm': '0.8943', 'learning_rate': '1.995e-05', 'epoch': '0.2744'}
{'loss': '0.1317', 'grad_norm': '15.87', 'learning_rate': '1.994e-05', 'epoch': '0.2805'}
{'loss': '0.06913', 'grad_norm': '17.05', 'learning_rate': '1.994e-05', 'epoch': '0.2866'}
{'loss': '0.0491', 'grad_norm': '0.814', 'learning_rate': '1.994e-05', 'epoch': '0.2927'}
{'loss': '0.04663', 'grad_norm': '0.06676', 'learning_rate': '1.994e-05', 'epoch': '0.2988'}
{'loss': '0.0832', 'grad_norm': '0.5633', 'learning_rate': '1.994e-05', 'epoch': '0.3049'}
{'loss': '0.09486', 'grad_norm': '3.153', 'learning_rate': '1.994e-05', 'epoch': '0.311'}
{'loss': '0.07699', 'grad_norm': '4.412', 'learning_rate': '1.994e-05', 'epoch': '0.3171'}
{'loss': '0.03882', 'grad_norm': '0.2886', 'learning_rate': '1.994e-05', 'epoch': '0.3232'}
{'loss': '0.0739', 'grad_norm': '18.61', 'learning_rate': '1.993e-05', 'epoch': '0.3293'}
{'loss': '0.06764', 'grad_norm': '1.061', 'learning_rate': '1.993e-05', 'epoch': '0.3354'}
{'loss': '0.06726', 'grad_norm': '6.456', 'learning_rate': '1.993e-05', 'epoch': '0.3415'}
{'loss': '0.1106', 'grad_norm': '4.152', 'learning_rate': '1.993e-05', 'epoch': '0.3476'}
{'loss': '0.05592', 'grad_norm': '0.08015', 'learning_rate': '1.993e-05', 'epoch': '0.3537'}
{'loss': '0.06388', 'grad_norm': '0.134', 'learning_rate': '1.993e-05', 'epoch': '0.3598'}
{'loss': '0.08594', 'grad_norm': '0.09494', 'learning_rate': '1.993e-05', 'epoch': '0.3659'}
{'loss': '0.02274', 'grad_norm': '0.1199', 'learning_rate': '1.993e-05', 'epoch': '0.372'}
{'loss': '0.02083', 'grad_norm': '0.04124', 'learning_rate': '1.992e-05', 'epoch': '0.378'}
{'loss': '0.06329', 'grad_norm': '0.03202', 'learning_rate': '1.992e-05', 'epoch': '0.3841'}
{'loss': '0.07056', 'grad_norm': '0.1306', 'learning_rate': '1.992e-05', 'epoch': '0.3902'}
{'loss': '0.04811', 'grad_norm': '17.77', 'learning_rate': '1.992e-05', 'epoch': '0.3963'}
